title,source,url,published_at,summary
"Anthropic ships Claude Agent SDK 0.3 with structured output",Anthropic,https://www.anthropic.com/news/agent-sdk-0-3,2026-09-21,"The SDK now returns a json_schema-validated object alongside the final text, so callers stop parsing prose."
"OpenAI opens GPT-5.5 fine-tuning to all API customers",Reuters,https://www.reuters.com/technology/openai-gpt55-finetuning-2026-09-20/,2026-09-20,"Fine-tuning moves out of limited preview; pricing is per million training tokens with a two-week retention default."
"EU AI Act: first enforcement letters go out to eight providers",Financial Times,https://www.ft.com/content/eu-ai-act-first-enforcement-2026-09-19,2026-09-19,"Regulators asked for model cards and incident logs within 30 days; no fines yet, but the letters set the template."
"Google DeepMind's Gemini 3.5 tops the new ARC-AGI-3 board",The Verge,https://www.theverge.com/2026/9/18/gemini-35-arc-agi-3,2026-09-18,"A 61% score on the new benchmark, up from 34% for the previous generation, with cost per task still above $2."
"Mistral raises $900M at a $14B valuation to build sovereign inference",Bloomberg,https://www.bloomberg.com/news/articles/2026-09-18/mistral-series-d,2026-09-18,"The round is led by European pension funds; proceeds go to data centres in France and Sweden."
"Meta open-sources Llama 4.1 weights under a revised licence",TechCrunch,https://techcrunch.com/2026/09/17/meta-llama-4-1-weights/,2026-09-17,"The 400B model ships with a licence that drops the monthly-active-user cap that limited Llama 3."
"MCP becomes a Linux Foundation project",InfoWorld,https://www.infoworld.com/article/mcp-linux-foundation-2026,2026-09-17,"Anthropic hands the Model Context Protocol spec to a neutral foundation; Microsoft, Google and AWS join the board."
"Nvidia's Rubin GPUs slip to Q1 2027 on HBM4 supply",The Information,https://www.theinformation.com/articles/nvidia-rubin-delay-hbm4,2026-09-16,"Two supply-chain sources put the delay at one quarter; Blackwell Ultra output rises to cover the gap."
"Stanford HAI: agent benchmarks disagree with each other more than with humans",Stanford HAI,https://hai.stanford.edu/news/agent-benchmark-disagreement-2026,2026-09-16,"Across 14 agent benchmarks, rank correlation between suites was 0.41, which the authors call a measurement problem."
"Cursor and Replit report agents now write most merged code in their own repos",Ars Technica,https://arstechnica.com/ai/2026/09/15/agents-write-most-merged-code/,2026-09-15,"Both companies put the figure above 70% of merged diffs, with review time rather than authoring as the new bottleneck."
